cd_mun,municipio,nm_mun_y,uf,nm_uf,regional,faixa_populacional,populacao,area_km2,n_meses_com_registro,cvli_total,furto_total,roubo_total,densidade_cvli_100milhab,densidade_furto_100milhab,densidade_roubo_100milhab
1505700,Ponta de Pedras,Ponta de Pedras,PA,Pará,MARAJO ORIENTAL,de 21 mil a 40 mil,24606,3363.743,12,1,270,21,4.064049418840932,1097.293343087052,85.3450377956596
1505809,Portel,Portel,PA,Pará,MARAJO OCIDENTAL,de 41 mil a 100 mil,62445,25386.158,12,14,457,58,22.41972936183842,731.8440227400113,92.8817359276163
1505908,Porto de Moz,Porto de Moz,PA,Pará,XINGU,de 21 mil a 40 mil,40597,17422.329,12,9,274,23,22.16912579747272,674.9267187230583,56.65443259354139
1506005,Prainha,Prainha,PA,Pará,BAIXO AMAZONAS,de 21 mil a 40 mil,29564,14788.189,12,4,245,9,13.52996888107157,828.7105939656338,30.44242998241104
1506104,Primavera,Primavera,PA,Pará,CAETE,Até 20 mil,10605,259.331,12,2,45,9,18.85902876001886,424.3281471004243,84.86562942008486
1506112,Quatipuru,Quatipuru,PA,Pará,CAETE,Até 20 mil,13167,302.586,12,2,95,6,15.1894888736994,721.5007215007215,45.5684666210982
1506138,Redenção,Redenção,PA,Pará,ARAGUAIA,de 41 mil a 100 mil,85592,3823.809,12,21,838,181,24.53500327133377,979.0634638751286,211.4683615291149
1506161,Rio Maria,Rio Maria,PA,Pará,ALTO XINGU,Até 20 mil,18158,4114.627,12,10,129,10,55.07214450930719,710.4306641700628,55.07214450930719
1506187,Rondon do Pará,Rondon do Pará,PA,Pará,CARAJAS,de 41 mil a 100 mil,50316,8246.394,12,20,262,26,39.74878766197631,520.7091183718896,51.6734239605692
1506195,Rurópolis,Rurópolis,PA,Pará,TAPAJOS,de 21 mil a 40 mil,33805,7021.321,12,5,159,3,14.79071143321994,470.344623576394,8.874426859931964
1506203,Salinópolis,Salinópolis,PA,Pará,CAETE,de 21 mil a 40 mil,39426,226.12,12,3,774,87,7.609191903819814,1963.171511185512,220.6665652107746
1506302,Salvaterra,Salvaterra,PA,Pará,MARAJO ORIENTAL,de 21 mil a 40 mil,23324,918.563,12,3,300,10,12.86228777225176,1286.228777225176,42.87429257417253
1506351,Santa Bárbara do Pará,Santa Bárbara do Pará,PA,Pará,METROPOLITANA,de 21 mil a 40 mil,21079,278.154,12,3,196,71,14.23217420181223,929.8353811850657,336.8281227762228
1506401,Santa Cruz do Arari,Santa Cruz do Arari,PA,Pará,MARAJO ORIENTAL,Até 20 mil,7151,1076.652,12,0,52,6,0.0,727.1710250314641,83.90434904209202
1506500,Santa Izabel do Pará,Santa Izabel do Pará,PA,Pará,GUAMA,de 41 mil a 100 mil,73019,717.662,12,16,597,270,21.91210506854381,817.5954203700406,369.7667730316767
1506559,Santa Luzia do Pará,Santa Luzia do Pará,PA,Pará,CAETE,Até 20 mil,20154,1346.502,12,7,67,14,34.73255929344051,332.4402103800734,69.46511858688102
1506583,Santa Maria das Barreiras,Santa Maria das Barreiras,PA,Pará,ARAGUAIA,Até 20 mil,20941,10330.214,12,4,63,6,19.10128456138675,300.8452318418414,28.65192684208013
1506609,Santa Maria do Pará,Santa Maria do Pará,PA,Pará,GUAMA,de 21 mil a 40 mil,24624,457.724,12,1,158,25,4.061078622482131,641.6504223521767,101.5269655620533
1506708,Santana do Araguaia,Santana do Araguaia,PA,Pará,ARAGUAIA,de 21 mil a 40 mil,32413,11591.441,12,11,224,27,33.93700058618455,691.0807392095764,83.29991052972574
1506807,Santarém,Santarém,PA,Pará,BAIXO AMAZONAS,Acima de 200 mil,331937,17899.238,12,51,3000,688,15.3643613095256,903.785959383859,207.268246685365
1506906,Santarém Novo,Santarém Novo,PA,Pará,CAETE,Até 20 mil,6307,229.51,12,0,49,4,0.0,776.914539400666,63.42159505311559
1507003,Santo Antônio do Tauá,Santo Antônio do Tauá,PA,Pará,GUAMA,de 21 mil a 40 mil,31574,537.618,12,2,237,48,6.334325711028061,750.6175967568253,152.0238170646735
1507755,Sapucaia,Sapucaia,PA,Pará,ALTO XINGU,Até 20 mil,5864,1298.19,10,0,50,3,0.0,852.6603001364257,51.15961800818554
1507805,Senador José Porfírio,Senador José Porfírio,PA,Pará,XINGU,Até 20 mil,11480,14419.917,12,13,121,4,113.2404181184669,1054.006968641115,34.84320557491289
